time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 10:55:00,22.273,22.204,19.823,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:56:00,22.333,22.246,19.826,强上升,长下影(承接),平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:57:00,22.36,22.3,19.828,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:58:00,22.31,22.312,19.829,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:59:00,22.263,22.312,19.83,弱上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:00:00,22.217,22.266,19.831,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:01:00,22.2,22.232,19.832,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:02:00,22.183,22.206,19.832,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:03:00,22.193,22.196,19.833,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:04:00,22.23,22.212,19.834,弱上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:05:00,22.257,22.23,19.834,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
